desi;desc;wshop;process;specif;value
CL01;Littel 1;MPC;COIL;posX;-20
CL01;;;;posY;100
CL02;Littel 2;MPC;COIL;posX;-25
CL02;;;;posY;95
CL03;Littel 3;MPC;COIL;posX;-20
CL03;;;;posY;90
PM50;MTD 73;MTD;ENDMTD;diam;73
PM50;;;;posX;40
PM50;;;;posY;0
PM51;MTD 70;MTD;ENDMTD;diam;70
PM51;;;;posX;30
PM51;;;;posY;0
PM52;MTD 96;MTD;ENDMTD;diam;96
PM52;;;;posX;20
PM52;;;;posY;0
PM53;MTD 99;MTD;ENDMTD;diam;99
PM53;;;;posX;10
PM53;;;;posY;0
PM54;MTD 127;MTD;ENDMTD;diam;127
PM54;;;;posX;0
PM54;;;;posY;0
PE02;EOLE 99;EOLE;EOLE;diam;99
PE02;;;;posX;50
PE02;;;;posY;0
PE01;EOLE 83.7;EOLE;EOLE;diam;83.7
PE01;;;;posX;65
PE01;;;;posY;0
PE04;EOLE 73;EOLE;EOLE;diam;73
PE04;;;;posX;80
PE04;;;;posY;0
LA01;LV1;MPC;COAT;posX;-60
LA01;;;;posY;80
LA02;LV2;MPC;COAT;posX;-60
LA02;;;;posY;70
LA03;LV3;MPC;COAT;posX;-25
LA03;;;;posY;60
LA04;LV4;MPC;COAT;posX;-25
LA04;;;;posY;50
LA04;;;;cad;5564
LA03;;;;cad;5618
LA02;;;;cad;4824
LA01;;;;cad;4782
PD05;DD05;DD;END;posX;100
PD06;DD06;DD;END;posX;100
PD07;DD07;DD;END;posX;100
PD08;DD08;DD;END;posX;100
PD09;DD09;DD;END;posX;100
PD10;DD10;DD;END;posX;100
PD11;DD11;DD;END;posX;100
PD12;DD12;DD;END;posX;100
PD13;DD13;DD;END;posX;100
PD14;DD14;DD;END;posX;100
PD15;DD15;DD;END;posX;100
PD16;DD16;DD;END;posX;100
PD17;DD17;DD;END;posX;100
PD18;DD18;DD;END;posX;100
PD19;DD19;DD;END;posX;100
PD20;DD20;DD;END;posX;100
PD21;DD21;DD;END;posX;100
PD22;DD22;DD;END;posX;100
PD23;DD23;DD;END;posX;100
PD24;DD24;DD;END;posX;100
PD25;DD25;DD;END;posX;100
PD26;DD26;DD;END;posX;100
PD27;DD27;DD;END;posX;100
PD28;DD28;DD;END;posX;100
PDSL5&6;DD5&6;DD;END;posX;100
PDSL7&8;DD7&8;DD;END;posX;100
PDSL12&13;DD12&13;DD;END;posX;100
PDSL19&20;DD19&20;DD;END;posX;100
PDSL22&23;DD22&23;DD;END;posX;100
