id;model;manufact;condition;status;equitype;owner;process;role;prodline;wshop
2829;135AP;Continental Can;Scrap/Spares Only;Surplus;1;PROD;;36;;
2830;G109;Karges-Hammer;Scrap/Spares Only;Surplus;1;PROD;;36;;
2836;;Karges-Hammer;Fully Functional;Surplus;1;PROD;;36;;
2837;194;Unknown;Fully Functional;Surplus;1;PROD;;36;;
2841;;Nordson/Mecatronic;Scrap/Spares Only;Surplus;1;PROD;;101;;
21580;55;Metalbox;As New;Operational;1;PROD;Ends Multi Die;1;PM50;MTD
21583;55;Metalbox;Fully Functional;Operational;1;PROD;EOLE;1;PE01;EOLE
21584;55;Metalbox;Fully Functional;Standalone;1;PROD;;1;;
21585;55;Metalbox;Fully Functional;Operational;1;PROD;Ends Multi Die;1;PM51;MTD
21586;55;Metalbox;Fully Functional;Operational;1;PROD;Ends Multi Die;1;PM52;MTD
21587;55;Metalbox;Fully Functional;Operational;1;PROD;Ends Multi Die;1;PM53;MTD
21588;55;Metalbox;Fully Functional;Surplus;1;PROD;;1;;
21597;586;IMC;Fully Functional;Operational;1;PROD;End Assembly;1;PD25;DD
21602;586;IMC;Fully Functional;Operational;1;PROD;End Assembly;1;PD27;DD
21603;586;IMC;Fully Functional;Surplus;1;PROD;;1;;
21604;586;IMC;Fully Functional;Operational;1;PROD;End Assembly;1;PD26;DD
21606;686;FMC;Fully Functional;Operational;1;PROD;End Assembly;1;PD14;DD
21634;686;IMC;Fully Functional;Operational;1;PROD;End Assembly;1;PD15;DD
21636;686;IMC;Fully Functional;Surplus;1;PROD;;1;;
21641;686;IMC;Fully Functional;Surplus;1;PROD;;1;;
21642;686;IMC;Fully Functional;Operational;1;PROD;End Assembly;1;PD10;DD
21643;686;IMC;Fully Functional;Operational;1;PROD;End Assembly;1;PD07;DD
21644;686;IMC;Fully Functional;Operational;1;PROD;End Assembly;1;PD19;DD
21646;686;IMC;Fully Functional;Operational;1;PROD;End Assembly;1;PD09;DD
21648;686;IMC;Fully Functional;Surplus;1;PROD;;1;;
21649;686;IMC;Fully Functional;Operational;1;PROD;End Assembly;1;PD08;DD
21650;686;IMC;Fully Functional;Operational;1;PROD;End Assembly;1;PD20;DD
21651;686;IMC;Fully Functional;Operational;1;PROD;End Assembly;1;PD13;DD
21652;686;IMC;Fully Functional;Operational;1;PROD;End Assembly;1;PD24;DD
21653;686;IMC;Fully Functional;Surplus;1;PROD;;1;;
21654;686;IMC;Fully Functional;Surplus;1;PROD;;1;;
21655;686;IMC;Fully Functional;Operational;1;PROD;End Assembly;1;PD11;DD
21708;M703;Cuomo;Fully Functional;Operational;1;PROD;End Assembly;1;PD28;DD
21710;55;Metalbox;Fully Functional;Operational;1;PROD;EOLE;1;PE02;EOLE
21754;MRC-450-E;Penalver;Fully Functional;Operational;1;PROD;EOLE;188;PE02;EOLE
21755;MRC-450-E;Penalver;Fully Functional;Operational;1;PROD;EOLE;188;PE01;EOLE
21756;MRC-450-E;Penalver;Fully Functional;Operational;1;PROD;EOLE;188;PE02;EOLE
21767;18m-1";LTG;Fully Functional;Operational;1;PROD;Coating;2;LA01;MPC
21768;18m-1";LTG;Fully Functional;Operational;1;PROD;Coating;2;LA02;MPC
21868;;Carnaud;Fully Functional;Surplus;1;PROD;;17;;
21898;1645;Carnaud;Scrap/Spares Only;Surplus;1;PROD;;7;;
21899;1645;Carnaud;Scrap/Spares Only;Surplus;1;PROD;;7;;
21900;1645;Carnaud;Scrap/Spares Only;Surplus;1;PROD;;7;;
21905;;(Manual);Fully Functional;Standalone;1;PROD;;7;;
21906;;(Manual);Fully Functional;Surplus;1;PROD;;7;;
21907;;(Manual);Fully Functional;Surplus;1;PROD;;7;;
22009;DO;Jomar;Fully Functional;Operational;1;PROD;End Assembly;34;PD28;DD
22010;153SD;Jomar;Fully Functional;Operational;1;PROD;End Assembly;34;PDSLVISMAE9&10;
22011;SD;Jomar;Fully Functional;Surplus;1;PROD;;34;;
22012;SD;Jomar;Fully Functional;Operational;1;PROD;End Assembly;34;PD25;DD
22016;1645;Carnaud;Fully Functional;Surplus;1;PROD;;7;;
22020;1645;Carnaud;Fully Functional;Surplus;1;PROD;;7;;
22021;1645;Carnaud;Fully Functional;Operational;1;PROD;End Assembly;7;PD22;DD
22022;1645;Carnaud;Scrap/Spares Only;Surplus;1;PROD;;7;;
22023;1645;Carnaud;Fully Functional;Surplus;1;PROD;;7;;
22024;1645;Carnaud;Scrap/Spares Only;Surplus;1;PROD;;7;;
