EquipmentType;EquipmentTypeID;EquipmentID;CMMSCode;EquipmentModelType;SerialNo;PlantID;Plant;ProductionLineID;ProductionLine;Position;CategoryCode;RoleCategory;Model;Manufacturer;Condition;Process;OperationalStatus;Comments;BusinessCentre;AcquisitionDate;AcquisitionCost;Concerned;Certificat;2006;2014;CECompliant;ComplyType:;FinancialStatusDesc;CapexNo;FinancialCTSOffice;FARCode;GBV;DepreciationStartDate;DepreciationRate;DepreciationYears;InventoryValue;LeasingLessorNameDesc;LeasingContractRefDesc;LeasingAnnualFee;LeasingSaleDate;LeasingContractNo;OriginalEqptCost;CustomerDetailedName;Groupe;SellingDate;SellingAmount;FinancialInfo;
Line Machines;1;2836;PRESS_2836;;;5;Food France - Nantes;0;;0,000;0036;Press;;Karges-Hammer;Fully Functional;N/A;Surplus;;False;01/10/2003;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22250;DWNEND_22250;;86 265-80;5;Food France - Nantes;11398;573CL01;10,000;0010;Downender;;Littell;Fully Functional;Coil Shear;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22262;COILCAR_22262;;86 264-80;5;Food France - Nantes;11398;573CL01;20,000;0011;Coil car;;Littell;Fully Functional;Coil Shear;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22275;COILUNW_22275;;86 263-80;5;Food France - Nantes;11398;573CL01;30,000;0012;Coil unwinder;;Littell;Fully Functional;Coil Shear;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22288;LEVELL_22288;;86 262-80;5;Food France - Nantes;11398;573CL01;50,000;0131;Leveller;;Littell;Fully Functional;Coil Shear;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;26008;CURLER_26008;;;5;Food France - Nantes;0;;0,000;0108;Curler;6M;Carnaud;Fully Functional;N/A;Surplus;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22317;SHEAR_22317;;86 260-80;5;Food France - Nantes;11398;573CL01;70,000;0015;Shear;BR4;Littell;Fully Functional;Coil Shear;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22328;CLASSI_22328;;86259-80;5;Food France - Nantes;11398;573CL01;80,000;0016;Classifier;Pile 1;Littell;Fully Functional;Coil Shear;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;48091;CONVSH_48091;;573CL01_conveying;5;Food France - Nantes;11398;573CL01;130,000;0158;Conveyor (sheet-);Conveying;Crown;Fully Functional;Coil Shear;Operational;;False;Unknown;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;48255;GAUGE _48255;;573CL01_ThicknessGau;5;Food France - Nantes;11398;573CL01;40,000;0199;Gauge (thickness-);Thickness gauge;Littell;Fully Functional;Coil Shear;Operational;;False;Unknown;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
